"ID","I_E","studygroup","N_rel","degree","participate_small","participate_big","n_inside_studygroups","n_outside_studygroups","nrel_new"
1,7,1,1,7,0,4,0,1,3
2,4,2,2,6,0,5,0,3,3
3,2,3,0,3,0,2,0,0,2
4,9,4,3,7,0,6,0,2,3
5,3,5,0,6,0,1,0,0,3
6,5,6,0,1,0,4,0,0,0
7,3,7,0,2,0,2,0,0,1
8,2,8,1,5,0,3,0,2,3
9,8,9,3,6,0,3,0,2,3
10,7,10,3,7,0,4,0,1,3
11,5,11,0,4,0,4,0,0,2
12,6,12,0,3,0,4,0,0,1
13,4,1,1,6,0,5,0,1,3
14,7,2,3,8,0,6,0,2,4
15,4,3,1,5,0,2,0,1,2
16,2,4,2,6,0,1,0,3,3
17,3,5,0,2,0,5,0,0,1
18,7,6,1,2,0,8,0,0,1
19,1,7,0,2,0,1,0,0,2
20,3,8,1,6,0,5,1,1,3
21,3,9,2,4,0,7,1,1,2
22,4,10,1,8,0,6,0,3,4
23,7,11,2,6,0,5,0,1,3
24,3,12,0,4,0,4,0,0,3
25,4,1,0,5,0,3,0,0,2
26,7,2,3,10,0,4,0,2,5
27,1,3,0,4,0,4,0,0,3
28,4,4,2,4,0,4,0,2,2
29,2,5,0,4,0,2,0,0,2
30,9,6,0,2,0,5,0,0,1
31,7,7,0,6,0,5,0,0,2
32,6,8,1,7,0,5,0,1,3
33,2,9,2,5,0,3,0,3,3
34,3,10,1,5,0,2,0,2,3
35,4,11,0,8,0,5,0,1,4
36,7,12,1,5,0,5,1,0,2
37,4,1,0,4,0,4,0,0,2
38,2,2,3,8,0,1,0,4,4
39,3,3,0,6,0,3,0,0,3
40,3,4,1,3,0,3,0,1,2
41,3,5,0,0,0,2,0,0,0
42,4,6,0,3,0,5,0,0,2
43,2,7,0,2,0,4,0,0,2
44,3,8,3,8,0,3,1,1,4
45,9,9,4,7,0,6,0,3,3
46,2,10,0,4,0,3,0,0,3
47,6,11,0,4,0,4,0,0,2
48,7,12,2,8,0,5,1,1,4
49,2,1,0,4,0,2,0,0,3
50,4,2,2,6,0,3,0,2,3
51,7,3,1,4,0,6,0,1,1
52,6,4,1,2,0,5,0,1,1
53,2,5,0,4,0,1,0,0,2
54,1,6,0,2,0,3,0,1,1
55,8,7,0,4,0,6,0,0,1
56,7,8,4,8,0,5,0,3,4
57,3,9,3,8,0,1,1,3,4
58,9,10,2,6,0,6,0,1,2
59,4,11,1,6,0,3,0,1,3
60,5,12,1,6,0,3,0,1,3
