"ID","I_E","studygroup","N_rel","degree","participate_small","participate_big","n_inside_studygroups","n_outside_studygroups","nrel_new"
1,7,1,0,1,7,8,0,0,0
2,4,2,3,8,7,3,0,3,4
3,2,3,2,3,6,4,0,1,2
4,9,4,3,8,7,7,0,2,3
5,3,5,2,4,10,4,0,1,2
6,5,6,0,6,10,5,0,1,3
7,3,7,3,5,6,4,0,2,2
8,2,8,1,6,4,4,0,2,3
9,8,9,5,10,6,6,0,4,5
10,7,10,2,8,11,6,0,1,3
11,5,11,0,9,8,3,0,0,5
12,6,12,1,8,11,4,0,0,4
13,4,1,2,7,7,4,2,0,4
14,7,2,4,13,10,6,1,3,6
15,4,3,0,3,7,3,0,0,2
16,2,4,3,7,6,2,0,3,4
17,3,5,1,2,7,2,0,1,1
18,7,6,0,6,10,5,0,0,3
19,1,7,1,2,6,3,0,1,1
20,3,8,1,5,7,4,0,1,3
21,3,9,3,8,7,3,1,2,4
22,4,10,2,10,6,2,0,2,5
23,7,11,0,4,10,5,0,0,2
24,3,12,0,9,7,2,0,1,5
25,4,1,1,4,8,6,1,0,2
26,7,2,3,7,6,4,1,2,3
27,1,3,0,6,7,2,0,0,3
28,4,4,2,6,7,3,0,2,3
29,2,5,1,2,8,3,0,1,1
30,9,6,2,10,9,6,0,0,4
31,7,7,1,8,10,7,0,1,4
32,6,8,2,6,6,5,0,1,3
33,2,9,0,8,7,3,0,2,4
34,3,10,2,8,5,2,0,3,5
35,4,11,1,8,8,4,1,1,4
36,7,12,2,8,11,5,1,0,4
37,4,1,1,5,4,3,1,0,2
38,2,2,1,6,3,2,0,1,4
39,3,3,1,7,7,3,0,1,4
40,3,4,1,5,6,4,0,2,3
41,3,5,0,2,7,5,0,0,1
42,4,6,0,6,7,4,0,1,3
43,2,7,0,5,10,3,0,1,3
44,3,8,1,6,7,4,0,2,3
45,9,9,3,7,4,5,0,2,3
46,2,10,2,10,9,1,0,2,6
47,6,11,2,7,8,5,0,1,3
48,7,12,2,10,10,3,1,1,5
49,2,1,0,5,6,3,0,0,3
50,4,2,2,8,5,4,0,2,4
51,7,3,1,7,8,7,0,1,2
52,6,4,1,6,9,6,0,0,3
53,2,5,1,6,8,3,0,1,3
54,1,6,0,3,7,2,0,0,2
55,8,7,3,12,8,7,0,2,6
56,7,8,1,9,10,1,0,0,4
57,3,9,3,7,5,5,1,1,4
58,9,10,3,9,8,5,0,1,4
59,4,11,2,10,8,3,1,1,5
60,5,12,1,9,8,5,0,1,4
