"ID","I_E","studygroup","N_rel","degree","participate_small","participate_big","n_inside_studygroups","n_outside_studygroups","nrel_new"
1,7,1,0,2,8,0,0,0,1
2,4,2,2,6,8,0,1,1,3
3,2,3,1,4,5,0,0,0,2
4,9,4,2,6,9,0,0,2,3
5,3,5,0,4,7,0,0,0,2
6,5,6,0,7,9,0,0,0,4
7,3,7,0,10,6,0,0,0,5
8,2,8,1,8,8,0,0,2,4
9,8,9,3,10,7,0,0,1,5
10,7,10,1,8,7,0,0,1,4
11,5,11,0,4,8,0,0,0,2
12,6,12,0,6,9,0,0,0,3
13,4,1,0,8,8,0,0,0,4
14,7,2,2,6,8,0,0,1,3
15,4,3,0,5,7,0,0,1,2
16,2,4,1,8,5,0,0,2,4
17,3,5,0,4,6,0,0,0,2
18,7,6,0,2,7,0,0,0,1
19,1,7,2,7,11,0,0,1,5
20,3,8,0,6,6,0,0,0,3
21,3,9,2,7,8,0,1,1,3
22,4,10,1,8,3,0,0,1,4
23,7,11,1,6,9,0,0,1,3
24,3,12,0,4,8,0,0,0,2
25,4,1,1,6,8,0,1,0,3
26,7,2,2,8,7,0,0,2,4
27,1,3,0,3,2,0,0,0,2
28,4,4,3,6,7,0,0,3,3
29,2,5,1,6,5,0,1,0,3
30,9,6,0,3,8,0,0,0,1
31,7,7,0,3,6,0,0,0,1
32,6,8,2,10,7,0,0,1,5
33,2,9,0,6,7,0,0,1,4
34,3,10,2,8,9,0,0,2,4
35,4,11,1,8,10,0,0,1,4
36,7,12,1,2,8,0,1,0,1
37,4,1,1,4,8,0,1,0,2
38,2,2,2,8,4,0,0,3,4
39,3,3,0,6,10,0,0,0,3
40,3,4,0,6,10,0,0,0,3
41,3,5,1,4,10,0,0,0,2
42,4,6,2,6,7,0,0,1,3
43,2,7,1,5,3,0,0,1,3
44,3,8,1,8,8,0,0,0,4
45,9,9,4,9,7,0,0,4,4
46,2,10,3,10,8,0,0,2,5
47,6,11,1,5,7,0,0,1,2
48,7,12,1,4,9,0,1,0,2
49,2,1,0,6,4,0,0,0,3
50,4,2,3,8,6,0,1,2,4
51,7,3,2,6,8,0,0,1,3
52,6,4,3,10,9,0,0,2,5
53,2,5,1,2,6,0,1,0,1
54,1,6,1,4,7,0,0,1,2
55,8,7,0,5,6,0,0,0,1
56,7,8,2,10,6,0,0,2,5
57,3,9,3,12,7,0,1,3,6
58,9,10,3,10,7,0,0,2,5
59,4,11,0,9,10,0,0,0,5
60,5,12,0,2,5,0,0,0,1
